Wall time,Step,Value
1545822434.7987278,2025,0.02107284963130951
1545824394.58101,4177,0.0827704444527626
1545826296.001427,6324,0.15585941076278687
1545828213.0590386,8463,0.22721314430236816
1545830325.080145,10599,0.2635408043861389
1545832504.7940083,12706,0.2954007387161255
1545834536.325792,14819,0.33360394835472107
1545836558.3519027,16934,0.3545598089694977
1545838545.556763,19068,0.3766271770000458
1545840662.2334561,21219,0.39648008346557617
1545842689.7275982,23367,0.41193515062332153
1545844738.0732493,25502,0.4266166687011719
1545846792.3551764,27632,0.46323734521865845
1545849069.5724769,29776,0.4744720160961151
1545851118.3633187,31894,0.48886850476264954
1545853162.2239811,34025,0.49983495473861694
1545855243.0249467,36142,0.5219565033912659
1545857316.7074902,38265,0.5235580205917358
1545859691.6250682,40383,0.5432344675064087
1545861882.1411874,42488,0.5610512495040894
1545865381.149515,46449,0.5638443231582642
1545867496.110929,48569,0.6027641892433167
1545869643.7551582,50689,0.5906744003295898
1545871702.3673124,52801,0.6070197820663452
1545873756.6935167,54914,0.609972357749939
1545903254.254391,56877,0.6197103261947632
1545905319.4477394,58982,0.637625515460968
1545907363.6540227,61072,0.6401370167732239
1545909645.4069977,63158,0.638044536113739
1545911826.9810002,65253,0.6472939252853394
1545913936.5383143,67329,0.6492782831192017
1545917263.120331,69323,0.6600576639175415
1545919403.7249844,71392,0.6481666564941406
1545921521.9689772,73454,0.6521791815757751
1545923652.3135047,75501,0.6699343919754028
1545925825.147897,77534,0.6626668572425842
1545927932.6702964,79581,0.6841604113578796
1545930065.2093084,81616,0.6828705072402954
1545932179.0200043,83674,0.6901327967643738
1545934336.3141277,85721,0.6890456080436707
1545936512.5231006,87754,0.6924840807914734
1545938650.2572658,89793,0.6995766162872314
1545940758.897042,91822,0.6937465071678162
1545942811.946803,93900,0.7023566961288452
1545946847.7599664,98000,0.713505744934082
1546267523.5467422,99829,0.7126508355140686
1546270202.9930942,101910,0.714611828327179
1546272917.8263478,104007,0.7190747857093811
1546275914.565896,106098,0.7213222980499268
1546278111.9038942,108182,0.7265892028808594
1546281170.4624944,110278,0.7253901958465576
1546283632.4868913,112375,0.7246761918067932
1546285774.5123663,114461,0.7341054677963257
1546288055.1007063,116542,0.7304763793945312
1546290141.3438423,118629,0.7300684452056885
1546292339.681084,120710,0.7224389314651489
1546294389.3794773,122800,0.7422884702682495
1546296493.9950173,124884,0.7378991842269897
1546298672.9533076,126970,0.7432341575622559
1546300599.5962183,129090,0.7395893335342407
1546302571.3568192,131190,0.7398078441619873
1546304494.302573,133305,0.7393395304679871
1546341017.7425518,135333,0.7366927266120911
1546343481.8455486,137470,0.7496572732925415
1546344801.5813599,137471,0.74943608045578
1546346122.7128396,137472,0.7492373585700989
1546348117.9406862,139612,0.7412402629852295
1546349436.2190523,139613,0.7408809065818787
1546350750.9558365,139614,0.7407377362251282
1546353648.869635,141755,0.7483705878257751
1546355643.6459782,143880,0.7484421133995056
1546357940.0601528,146000,0.7483378052711487
1546360362.9162152,148119,0.7504031658172607
1546362596.0366805,150199,0.7547311782836914
1546364855.7403507,152310,0.750999927520752
1546367293.9222562,154414,0.7509064078330994
1546370061.101078,156506,0.7549410462379456
1546372106.4043448,158616,0.7504234313964844
1546374310.1919045,160718,0.7586256265640259
1546376379.7047024,162826,0.7630448341369629
1546378419.8221347,164939,0.7549870014190674
1546380487.6063712,167043,0.7519709467887878
1546384844.5584326,171103,0.7598223686218262
1546387067.3351908,173160,0.7562829852104187
1546389147.6246097,175237,0.7624837756156921
1546419887.8516386,177178,0.7584173083305359
1546421955.826104,179275,0.7508224844932556
1546424051.9856243,181371,0.758345365524292
1546426378.9464588,183459,0.7626200914382935
1546429078.0723803,185543,0.7623578310012817
1546431175.310519,187561,0.764276921749115
1546433506.213035,189620,0.7661703824996948
1546435615.3274271,191687,0.7598628997802734
1546437664.2433536,193755,0.757890522480011
1546439715.7542772,195811,0.7695701718330383
1546442983.224381,197729,0.7603057026863098
1546445279.4903965,199775,0.7676323652267456
1546448387.794358,201809,0.7784059643745422
1546450623.3362536,203841,0.774799644947052
1546452853.9171402,205880,0.7784358859062195
1546454988.2109735,207921,0.7782931923866272
1546457156.9860513,209963,0.7761110067367554
1546459375.9270935,212001,0.7786771059036255
1546505133.6906595,215941,0.7763569951057434
1546507200.4994571,218029,0.7780963182449341
1546509227.5362675,220107,0.7766464948654175
1546510592.8653796,220108,0.776951253414154
1546511956.5853412,220109,0.7769352793693542
1546514375.9022691,222184,0.7811902761459351
1546516534.2418466,224269,0.7770633101463318
1546519329.4610105,226350,0.775631308555603
1546521435.1237683,228429,0.7785689234733582
1546522809.646394,228430,0.7784826159477234
1546524186.3496635,228431,0.7785752415657043
1546527068.6109824,230524,0.7806240916252136
1546529535.2012327,232403,0.779965877532959
1546531717.3455217,234486,0.7787725925445557
1546533844.0578878,236567,0.778320848941803
1546535845.8483758,238654,0.7761284708976746
1546537928.4155788,240733,0.7803754210472107
1546539955.5080917,242806,0.7784920930862427
1546541987.2645524,244878,0.778995931148529
1546544054.5427241,246953,0.7807058095932007
1546545389.6576304,246954,0.7806345224380493
1546548322.0295846,249034,0.7772750854492188
1546550326.4003916,251097,0.7839882969856262
1546552614.1964843,253150,0.7854866981506348
1546587218.3251607,257080,0.7853475213050842
1546589803.5841644,258944,0.7843814492225647
1546592242.1488564,260955,0.7834071516990662
1546594804.0378168,262956,0.7848504185676575
1546597985.1498427,264987,0.784880518913269
1546600979.633536,267002,0.7843883633613586
1546603202.9731677,269015,0.7827650308609009
1546605460.4722946,271024,0.7820646166801453
1546606935.3565228,271025,0.7819251418113708
1546609239.7080586,273032,0.7845008373260498
1546611433.7655501,275037,0.784967303276062
1546613855.5545592,277025,0.7862454652786255
1546616158.6104236,279035,0.7864497900009155
1546618665.2405636,281045,0.7860482931137085
1546620117.2583113,281046,0.7860455513000488
1546621557.7870288,281047,0.786018967628479
1546623787.1745884,283065,0.786574125289917
1546626368.7193573,285108,0.7849097847938538
1546628780.711659,287119,0.7866811752319336
1546630236.2458148,287120,0.7867063879966736
1546635190.0733523,289067,0.7852528691291809
1546638403.5044498,291152,0.785955011844635
1546642091.616689,293122,0.7849878072738647
1546680005.908267,295088,0.7861366868019104
1546682090.0533824,297170,0.7862074971199036
1546684120.5053074,299251,0.7865117788314819
1546686277.251192,301322,0.787794828414917
1546688486.9358785,303402,0.7873250246047974
1546691144.380517,305468,0.7872229814529419
1546693214.897415,307541,0.7869829535484314
1546694570.6588159,307542,0.7870434522628784
1546697200.8927398,309611,0.7872487306594849
1546699287.948495,311679,0.7874966859817505
1546700646.6073537,311680,0.7875165939331055
1546776867.054489,315661,0.7874082922935486
1546778267.2246187,315662,0.7874228358268738
1546781696.6539218,317724,0.7873061895370483
1546783106.4840147,317725,0.7873927354812622
1546784523.9757357,317726,0.7873908281326294
1546786770.3193164,319775,0.7878959774971008
1546788891.0304077,321830,0.7875736951828003
1546791725.2703753,323891,0.7881247401237488
1546795109.0432096,325944,0.7880747318267822
1546798348.782354,328004,0.7881689071655273
1546799748.5248468,328005,0.7881487607955933
1546802505.903215,330064,0.7877841591835022
1546804587.366071,332104,0.7870247960090637
1546806004.702753,332105,0.7870198488235474
1546807423.5843673,332106,0.7870574593544006
1546808840.2942536,332107,0.7870326042175293
1546811189.4964135,334160,0.7876380085945129
1546813519.6305385,336210,0.7877337336540222
1546814923.2000175,336211,0.7877251505851746
1546848177.3679817,338188,0.7881877422332764
1546850685.280872,340320,0.7878075242042542
1546853643.4292138,342435,0.7878085970878601
1546856678.478752,344539,0.7874214053153992
1546858015.6297476,344540,0.7874147891998291
1546860692.925732,346653,0.7880391478538513
1546863117.4187815,348765,0.7878599762916565
1546865054.393483,350000,0.7865188717842102
